path_no,x(m),y(m)
540,10.825561482792406,0.6501597845110876
541,10.851614758499416,0.6503165159343738
542,10.87763285163383,0.6504637642213802
543,10.903552814940221,0.6505972489274334
544,10.9295302598267,0.6507357737587126
545,10.955585350511507,0.6508742776138415
546,10.981598173553632,0.6510064515296022
547,11.007511476301126,0.6511336850758116
548,11.033488057190896,0.651267765249214
549,11.059540638842005,0.6514092159689954
550,11.08555845512651,0.6515469006451661
551,11.111477789479153,0.6516720052066175
552,11.137457426470828,0.6518021127491288
553,11.16351351122942,0.6519324797375731
554,11.189524941238636,0.652055343399834
555,11.215437229715471,0.6521743340698987
556,11.241416250107413,0.6523001436650299
557,11.267472063243178,0.6524304866942043
558,11.293486969174012,0.6525488710143318
559,11.319404951540491,0.652655720310962
560,11.345385526661182,0.652769146628639
561,11.371442606320507,0.6528865447436949
562,11.39745711675349,0.6529901219141295
563,11.423375239709086,0.6530819959765348
564,11.449356820391664,0.6531804164372041
565,11.475414403196627,0.6532829726438713
566,11.5014281854577,0.6533715837294511
567,11.527346456588848,0.6534491237666672
568,11.553330609815106,0.6535314084346647
569,11.579389322933793,0.6536139481121424
570,11.605398125245385,0.6536865120656917
571,11.631311362473937,0.6537578183640645
572,11.657295716275065,0.6538348901997457
573,11.683354373713573,0.6539168435680438
574,11.709365810059621,0.6539843291365137
